community	medium	receiver	donor	compound	scs	mus	mps	smetana
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_g3pe_e	0.3333333333333333	0.83	1	0.2766666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_g3pg_e	0.3333333333333333	0.11	1	0.03666666666666667
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_glu__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_gly_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_glyald_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_glyc_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_gthrd_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_gua_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_h2s_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_h_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_indole_e	0.3333333333333333	0.03	1	0.009999999999999998
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_leu__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_lys__L_e	0.3333333333333333	0.03	1	0.009999999999999998
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_met__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_nh4_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_ocdcea_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_orn_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_phe__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_pi_e	0.3333333333333333	0.05	1	0.016666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_rib__D_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_s_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_ser__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_thr__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_thym_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_trp__L_e	0.3333333333333333	0.02	1	0.006666666666666666
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_tyr__L_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_ump_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_ura_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-010_bin.16_rename	MTS-001_bin.5_rename	M_urea_e	0.3333333333333333	0.01	1	0.003333333333333333
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_4abut_e	0.25	0.02	1	0.005
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_acald_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_agm_e	0.25	0.03	1	0.0075
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_anhgm_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_arg__L_e	0.25	0.1	1	0.025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_asp__L_e	0.25	0.1	1	0.025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_cellb_e	0.25	0.15	1	0.0375
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_cgly_e	0.25	0.07	1	0.0175
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_cu2_e	0.25	0.95	1	0.2375
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_cys__L_e	0.25	0.06	1	0.015
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_dha_e	0.25	0.22	1	0.055
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_fe2_e	0.25	0.03	1	0.0075
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_fe3_e	0.25	0.96	1	0.24
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_fum_e	0.25	0.01	1	0.0025
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_glc__D_e	0.25	0.43	1	0.1075
MTS-001	minimal	MTS-001_bin.10_rename	MTS-040_bin.3_rename	M_glu__L_e	0.25	0.03	1	0.0075
